row_id,task_id,condition,model,run_dir,spec_path,workspace_path,score_path,deterministic_grader_pass,deterministic_partial,haiku45_verdict,g3flash_verdict,gpt54mini_verdict,human_rater_id,human_verdict,human_reason,time_spent_sec
R0011,PIPE3_msg_queue,team_no_plan,gpt-5.4-mini,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE3_msg_queue/20260421_101810_259d744b,/u/ybkim95/TeamBench/tasks/PIPE3_msg_queue/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE3_msg_queue/20260421_101810_259d744b/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE3_msg_queue/20260421_101810_259d744b/reports/score.json,False,0.85,FAIL,FAIL,FAIL,,,,
R0012,INT1_pipeline_repair,restricted,lb100_qwen3-8b-or_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INT1_pipeline_repair/20260424_123826_e0280ab3,/u/ybkim95/TeamBench/tasks/INT1_pipeline_repair/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INT1_pipeline_repair/20260424_123826_e0280ab3/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INT1_pipeline_repair/20260424_123826_e0280ab3/reports/score.json,False,0,FAIL,FAIL,FAIL,,,,
R0013,INC10_rollback_plan,team_no_plan,lb100_gpt5mini_5cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC10_rollback_plan/20260421_092845_79e55d0c,/u/ybkim95/TeamBench/tasks/INC10_rollback_plan/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC10_rollback_plan/20260421_092845_79e55d0c/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC10_rollback_plan/20260421_092845_79e55d0c/reports/score.json,False,0.4,FAIL,FAIL,FAIL,,,,
R0014,CR6_review_checklist,team_no_verify,lb100_qwen3-14b-or_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CR6_review_checklist/20260424_213457_d8fb8770,/u/ybkim95/TeamBench/tasks/CR6_review_checklist/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CR6_review_checklist/20260424_213457_d8fb8770/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CR6_review_checklist/20260424_213457_d8fb8770/reports/score.json,False,0.64,FAIL,FAIL,FAIL,,,,
R0015,GH1006_spaCy_13068,full,lb100_qwen3-14b-or_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH1006_spaCy_13068/20260427_001725_57f557e6,/u/ybkim95/TeamBench/tasks/GH1006_spaCy_13068/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH1006_spaCy_13068/20260427_001725_57f557e6/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH1006_spaCy_13068/20260427_001725_57f557e6/reports/score.json,False,0.4,FAIL,FAIL,FAIL,,,,
R0016,DIST1_queue_race,restricted,lb100_haiku45_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST1_queue_race/20260419_234723_a2debf17,/u/ybkim95/TeamBench/tasks/DIST1_queue_race/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST1_queue_race/20260419_234723_a2debf17/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST1_queue_race/20260419_234723_a2debf17/reports/score.json,False,0.5,FAIL,FAIL,FAIL,,,,
R0017,LH5_data_migration,team_no_verify,lb100_g31lite_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/LH5_data_migration/20260423_155342_da44b9eb,/u/ybkim95/TeamBench/tasks/LH5_data_migration/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/LH5_data_migration/20260423_155342_da44b9eb/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/LH5_data_migration/20260423_155342_da44b9eb/reports/score.json,False,0.09,FAIL,FAIL,FAIL,,,,
R0018,D7_etl_reconciliation,restricted,openrouter:qwen/qwen3-14b,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D7_etl_reconciliation/20260424_070005_d7f11060,/u/ybkim95/TeamBench/tasks/D7_etl_reconciliation/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D7_etl_reconciliation/20260424_070005_d7f11060/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D7_etl_reconciliation/20260424_070005_d7f11060/reports/score.json,False,0.9,FAIL,FAIL,FAIL,,,,
R0019,GH1003_scipy_24496,team_no_plan,lb100_gpt5nano_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH1003_scipy_24496/20260419_175559_15aa5269,/u/ybkim95/TeamBench/tasks/GH1003_scipy_24496/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH1003_scipy_24496/20260419_175559_15aa5269/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH1003_scipy_24496/20260419_175559_15aa5269/reports/score.json,False,0.0,FAIL,FAIL,FAIL,,,,
R0020,NEG1_tradeoff_config,restricted,lb100_gpt-oss-20b_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260421_030638_0a0576c9,/u/ybkim95/TeamBench/tasks/NEG1_tradeoff_config/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260421_030638_0a0576c9/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260421_030638_0a0576c9/reports/score.json,False,0.6,FAIL,FAIL,FAIL,,,,
R0021,TRAP6_deprecated_api,oracle,lb100_qwen3-14b_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TRAP6_deprecated_api/20260422_201909_0496ee19,/u/ybkim95/TeamBench/tasks/TRAP6_deprecated_api/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TRAP6_deprecated_api/20260422_201909_0496ee19/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TRAP6_deprecated_api/20260422_201909_0496ee19/reports/score.json,False,0.8,FAIL,FAIL,FAIL,,,,
R0022,API1_version_compat,team_no_verify,vllm:google/gemma-4-31B-it@http://localhost:8006/v1,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/API1_version_compat/20260420_214135_1de326f4,/u/ybkim95/TeamBench/tasks/API1_version_compat/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/API1_version_compat/20260420_214135_1de326f4/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/API1_version_compat/20260420_214135_1de326f4/reports/score.json,True,1.0,PASS,PASS,PASS,,,,
R0023,GH14_celery_chain_fail,team_no_verify,gpt-5.4-nano,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH14_celery_chain_fail/20260423_153647_a6ee0b7c,/u/ybkim95/TeamBench/tasks/GH14_celery_chain_fail/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH14_celery_chain_fail/20260423_153647_a6ee0b7c/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH14_celery_chain_fail/20260423_153647_a6ee0b7c/reports/score.json,False,0.67,FAIL,FAIL,FAIL,,,,
R0024,INC2_data_corruption,restricted,lb100_gpt-oss-20b_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC2_data_corruption/20260421_013500_577d1961,/u/ybkim95/TeamBench/tasks/INC2_data_corruption/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC2_data_corruption/20260421_013500_577d1961/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC2_data_corruption/20260421_013500_577d1961/reports/score.json,False,0.9,FAIL,FAIL,FAIL,,,,
R0025,GH10_retry_backoff,restricted,openrouter:anthropic/claude-opus-4.7,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH10_retry_backoff/20260424_184051_b3cfe3b0,/u/ybkim95/TeamBench/tasks/GH10_retry_backoff/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH10_retry_backoff/20260424_184051_b3cfe3b0/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/GH10_retry_backoff/20260424_184051_b3cfe3b0/reports/score.json,True,1.0,PASS,PASS,PASS,,,,
R0026,SPEC2_api_design,restricted,lb100_qwen3-8b-or_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC2_api_design/20260424_210306_5ccd7f6b,/u/ybkim95/TeamBench/tasks/SPEC2_api_design/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC2_api_design/20260424_210306_5ccd7f6b/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC2_api_design/20260424_210306_5ccd7f6b/reports/score.json,False,0.08,FAIL,FAIL,FAIL,,,,
R0027,INC2_data_corruption,full,openrouter:qwen/qwen3-8b,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC2_data_corruption/20260427_060622_7ddc6ba0,/u/ybkim95/TeamBench/tasks/INC2_data_corruption/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC2_data_corruption/20260427_060622_7ddc6ba0/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC2_data_corruption/20260427_060622_7ddc6ba0/reports/score.json,False,0.5,FAIL,FAIL,FAIL,,,,
R0028,SPEC5_config_system,oracle,lb100_gpt-oss-120b_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260422_162627_3d487b13,/u/ybkim95/TeamBench/tasks/SPEC5_config_system/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260422_162627_3d487b13/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260422_162627_3d487b13/reports/score.json,False,0.0,FAIL,FAIL,FAIL,,,,
R0029,PIPE2_data_pipeline,full,lb100_gemini31lite_oraclefull_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE2_data_pipeline/20260415_123835_a3d9d7b8,/u/ybkim95/TeamBench/tasks/PIPE2_data_pipeline/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE2_data_pipeline/20260415_123835_a3d9d7b8/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE2_data_pipeline/20260415_123835_a3d9d7b8/reports/score.json,False,0.8,FAIL,PASS,FAIL,,,,
R0030,DIST1_queue_race,full,lb100_gpt5mini_5cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST1_queue_race/20260421_125352_8fb06dcc,/u/ybkim95/TeamBench/tasks/DIST1_queue_race/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST1_queue_race/20260421_125352_8fb06dcc/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST1_queue_race/20260421_125352_8fb06dcc/reports/score.json,False,0.4167,FAIL,FAIL,FAIL,,,,
R0031,PIPE3_stream_processing,team_no_plan,lb100_g3flash_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE3_stream_processing/20260422_154942_aa616576,/u/ybkim95/TeamBench/tasks/PIPE3_stream_processing/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE3_stream_processing/20260422_154942_aa616576/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/PIPE3_stream_processing/20260422_154942_aa616576/reports/score.json,False,0.0,FAIL,PASS,FAIL,,,,
R0032,NEG1_tradeoff_config,restricted,openrouter:qwen/qwen3-32b,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260424_223435_fc2828ee,/u/ybkim95/TeamBench/tasks/NEG1_tradeoff_config/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260424_223435_fc2828ee/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260424_223435_fc2828ee/reports/score.json,False,0.4,FAIL,FAIL,FAIL,,,,
R0033,CROSS2_schema_evolution,team_no_verify,lb100_opus47_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS2_schema_evolution/20260424_205058_a5bedf77,/u/ybkim95/TeamBench/tasks/CROSS2_schema_evolution/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS2_schema_evolution/20260424_205058_a5bedf77/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS2_schema_evolution/20260424_205058_a5bedf77/reports/score.json,True,1,PASS,PASS,PASS,,,,
R0034,SPEC5_config_system,oracle,lb100_gemma4-31b_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260420_101640_fb95bcff,/u/ybkim95/TeamBench/tasks/SPEC5_config_system/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260420_101640_fb95bcff/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260420_101640_fb95bcff/reports/score.json,False,0.37,FAIL,FAIL,FAIL,,,,
R0035,LH2_budgeted_workflow,team_no_plan,lb100_gemini-3.1-pro-preview_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/LH2_budgeted_workflow/20260414_054602_89143cf9,/u/ybkim95/TeamBench/tasks/LH2_budgeted_workflow/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/LH2_budgeted_workflow/20260414_054602_89143cf9/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/LH2_budgeted_workflow/20260414_054602_89143cf9/reports/score.json,False,0.2,FAIL,FAIL,FAIL,,,,
R0036,CRYPTO1_nonce_reuse,full,lb100_qwen3-8b-or_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO1_nonce_reuse/20260428_012529_657b7a12,/u/ybkim95/TeamBench/tasks/CRYPTO1_nonce_reuse/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO1_nonce_reuse/20260428_012529_657b7a12/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO1_nonce_reuse/20260428_012529_657b7a12/reports/score.json,False,0.0,FAIL,PASS,PASS,,,,
R0037,IR2_misinformation_trap,restricted,lb100_gpt5nano_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR2_misinformation_trap/20260420_001126_f9b613d5,/u/ybkim95/TeamBench/tasks/IR2_misinformation_trap/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR2_misinformation_trap/20260420_001126_f9b613d5/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR2_misinformation_trap/20260420_001126_f9b613d5/reports/score.json,False,0.29,FAIL,FAIL,FAIL,,,,
R0038,TEST2_regression,team_no_plan,lb100_g3flash_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TEST2_regression/20260423_200943_80e56bb6,/u/ybkim95/TeamBench/tasks/TEST2_regression/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TEST2_regression/20260423_200943_80e56bb6/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TEST2_regression/20260423_200943_80e56bb6/reports/score.json,False,0.45,FAIL,FAIL,FAIL,,,,
R0039,CROSS1_api_contract,oracle,lb100_gpt-oss-20b_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS1_api_contract/20260420_063607_81b5dc7d,/u/ybkim95/TeamBench/tasks/CROSS1_api_contract/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS1_api_contract/20260420_063607_81b5dc7d/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS1_api_contract/20260420_063607_81b5dc7d/reports/score.json,False,0.5,FAIL,FAIL,FAIL,,,,
R0040,SCALE1_codebase_migration,restricted,lb100_gemini-3.1-pro-preview_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SCALE1_codebase_migration/20260422_041343_1a22e054,/u/ybkim95/TeamBench/tasks/SCALE1_codebase_migration/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SCALE1_codebase_migration/20260422_041343_1a22e054/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SCALE1_codebase_migration/20260422_041343_1a22e054/reports/score.json,False,0.43,FAIL,FAIL,FAIL,,,,
R0041,IR2_misinformation_trap,team_no_plan,vllm:google/gemma-4-31B-it@http://localhost:8006/v1,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR2_misinformation_trap/20260421_050328_bcff135d,/u/ybkim95/TeamBench/tasks/IR2_misinformation_trap/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR2_misinformation_trap/20260421_050328_bcff135d/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR2_misinformation_trap/20260421_050328_bcff135d/reports/score.json,False,0.29,FAIL,FAIL,FAIL,,,,
R0042,P3_access_control,oracle,gpt-5.4-mini,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/P3_access_control/20260421_064030_abc9bf79,/u/ybkim95/TeamBench/tasks/P3_access_control/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/P3_access_control/20260421_064030_abc9bf79/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/P3_access_control/20260421_064030_abc9bf79/reports/score.json,False,0.82,FAIL,FAIL,FAIL,,,,
R0043,INC4_dns_miscfg,oracle,lb100_qwen3-8b-or_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC4_dns_miscfg/20260422_121724_55a2c388,/u/ybkim95/TeamBench/tasks/INC4_dns_miscfg/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC4_dns_miscfg/20260422_121724_55a2c388/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/INC4_dns_miscfg/20260422_121724_55a2c388/reports/score.json,False,0,FAIL,FAIL,FAIL,,,,
R0044,IR4_temporal,team_no_verify,lb100_g31lite_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR4_temporal/20260423_154906_2a0a80d5,/u/ybkim95/TeamBench/tasks/IR4_temporal/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR4_temporal/20260423_154906_2a0a80d5/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR4_temporal/20260423_154906_2a0a80d5/reports/score.json,False,0.87,FAIL,FAIL,FAIL,,,,
R0045,CRYPTO4_kdf_migration,team_no_verify,lb100_gpt5mini_5cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO4_kdf_migration/20260421_120433_63d59c2d,/u/ybkim95/TeamBench/tasks/CRYPTO4_kdf_migration/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO4_kdf_migration/20260421_120433_63d59c2d/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO4_kdf_migration/20260421_120433_63d59c2d/reports/score.json,True,1.0,PASS,PASS,PASS,,,,
R0046,TEST4_property,restricted,claude-haiku-4-5-20251001,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TEST4_property/20260420_042937_2d5a0e97,/u/ybkim95/TeamBench/tasks/TEST4_property/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TEST4_property/20260420_042937_2d5a0e97/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/TEST4_property/20260420_042937_2d5a0e97/reports/score.json,False,0.86,FAIL,FAIL,FAIL,,,,
R0047,NEG1_tradeoff_config,oracle,lb100_opus47_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260423_212403_db0dbb99,/u/ybkim95/TeamBench/tasks/NEG1_tradeoff_config/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260423_212403_db0dbb99/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/NEG1_tradeoff_config/20260423_212403_db0dbb99/reports/score.json,False,0.8,FAIL,FAIL,FAIL,,,,
R0048,D4_data_pipeline,team_no_plan,vllm:google/gemma-4-31B-it@http://localhost:8006/v1,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D4_data_pipeline/20260421_034426_abde97b7,/u/ybkim95/TeamBench/tasks/D4_data_pipeline/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D4_data_pipeline/20260421_034426_abde97b7/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D4_data_pipeline/20260421_034426_abde97b7/reports/score.json,False,0.0,FAIL,FAIL,FAIL,,,,
